"p","U:0","U:1","U:2","Cp","Points:0","Points:1","Points:2"
1.013e+05,0,0,0,0.99525,0,0,0
1.0125e+05,0,0,0,0.96034,0.00019045,0.0023838,0
1.0125e+05,0,0,0,0.96034,0.00019045,0.0023838,0.01
1.013e+05,0,0,0,0.99525,0,0,0.01
1.0113e+05,0,0,0,0.86366,0.00075018,0.004727,0
1.0113e+05,0,0,0,0.86366,0.00075018,0.004727,0.01
1.0095e+05,0,0,0,0.72862,0.0016423,0.0069845,0
1.0095e+05,0,0,0,0.72862,0.0016423,0.0069845,0.01
1.0076e+05,0,0,0,0.58244,0.0028161,0.0091299,0
1.0076e+05,0,0,0,0.58244,0.0028161,0.0091299,0.01
1.0058e+05,0,0,0,0.44316,0.0042211,0.011154,0
1.0058e+05,0,0,0,0.44316,0.0042211,0.011154,0.01
1.0042e+05,0,0,0,0.31923,0.0058134,0.013058,0
1.0042e+05,0,0,0,0.31923,0.0058134,0.013058,0.01
1.0028e+05,0,0,0,0.21257,0.0075579,0.014849,0
1.0028e+05,0,0,0,0.21257,0.0075579,0.014849,0.01
1.0016e+05,0,0,0,0.1224,0.0094276,0.016538,0
1.0016e+05,0,0,0,0.1224,0.0094276,0.016538,0.01
1.0006e+05,0,0,0,0.046814,0.011402,0.018133,0
1.0006e+05,0,0,0,0.046814,0.011402,0.018133,0.01
99978,0,0,0,-0.017223,0.013464,0.019643,0
99978,0,0,0,-0.017223,0.013464,0.019643,0.01
99907,0,0,0,-0.071513,0.015602,0.021077,0
99907,0,0,0,-0.071513,0.015602,0.021077,0.01
99847,0,0,0,-0.11755,0.017808,0.022442,0
99847,0,0,0,-0.11755,0.017808,0.022442,0.01
99795,0,0,0,-0.15696,0.020073,0.023745,0
99795,0,0,0,-0.15696,0.020073,0.023745,0.01
99751,0,0,0,-0.19087,0.022391,0.024991,0
99751,0,0,0,-0.19087,0.022391,0.024991,0.01
99713,0,0,0,-0.22022,0.024759,0.026185,0
99713,0,0,0,-0.22022,0.024759,0.026185,0.01
99680,0,0,0,-0.24562,0.027171,0.027331,0
99680,0,0,0,-0.24562,0.027171,0.027331,0.01
99651,0,0,0,-0.2678,0.029626,0.028433,0
99651,0,0,0,-0.2678,0.029626,0.028433,0.01
99626,0,0,0,-0.28729,0.032119,0.029494,0
99626,0,0,0,-0.28729,0.032119,0.029494,0.01
99603,0,0,0,-0.30437,0.034651,0.030517,0
99603,0,0,0,-0.30437,0.034651,0.030517,0.01
99584,0,0,0,-0.31925,0.037217,0.031504,0
99584,0,0,0,-0.31925,0.037217,0.031504,0.01
99567,0,0,0,-0.33238,0.039818,0.032458,0
99567,0,0,0,-0.33238,0.039818,0.032458,0.01
99552,0,0,0,-0.34404,0.042451,0.033381,0
99552,0,0,0,-0.34404,0.042451,0.033381,0.01
99538,0,0,0,-0.3544,0.045116,0.034275,0
99538,0,0,0,-0.3544,0.045116,0.034275,0.01
99526,0,0,0,-0.36349,0.047812,0.035141,0
99526,0,0,0,-0.36349,0.047812,0.035141,0.01
99516,0,0,0,-0.37151,0.050538,0.03598,0
99516,0,0,0,-0.37151,0.050538,0.03598,0.01
99507,0,0,0,-0.37864,0.053293,0.036794,0
99507,0,0,0,-0.37864,0.053293,0.036794,0.01
99498,0,0,0,-0.3849,0.056077,0.037585,0
99498,0,0,0,-0.3849,0.056077,0.037585,0.01
99491,0,0,0,-0.39042,0.05889,0.038352,0
99491,0,0,0,-0.39042,0.05889,0.038352,0.01
99485,0,0,0,-0.3953,0.06173,0.039098,0
99485,0,0,0,-0.3953,0.06173,0.039098,0.01
99479,0,0,0,-0.39952,0.064598,0.039823,0
99479,0,0,0,-0.39952,0.064598,0.039823,0.01
99475,0,0,0,-0.40321,0.067493,0.040528,0
99475,0,0,0,-0.40321,0.067493,0.040528,0.01
99470,0,0,0,-0.40639,0.070415,0.041214,0
99470,0,0,0,-0.40639,0.070415,0.041214,0.01
99467,0,0,0,-0.40915,0.073364,0.041882,0
99467,0,0,0,-0.40915,0.073364,0.041882,0.01
99464,0,0,0,-0.41157,0.07634,0.042531,0
99464,0,0,0,-0.41157,0.07634,0.042531,0.01
99461,0,0,0,-0.4136,0.079342,0.043163,0
99461,0,0,0,-0.4136,0.079342,0.043163,0.01
99459,0,0,0,-0.41525,0.082371,0.043778,0
99459,0,0,0,-0.41525,0.082371,0.043778,0.01
99457,0,0,0,-0.41659,0.085426,0.044377,0
99457,0,0,0,-0.41659,0.085426,0.044377,0.01
99456,0,0,0,-0.41771,0.088507,0.044961,0
99456,0,0,0,-0.41771,0.088507,0.044961,0.01
99455,0,0,0,-0.41855,0.091615,0.045529,0
99455,0,0,0,-0.41855,0.091615,0.045529,0.01
99454,0,0,0,-0.41913,0.094749,0.046082,0
99454,0,0,0,-0.41913,0.094749,0.046082,0.01
99453,0,0,0,-0.41951,0.097908,0.046621,0
99453,0,0,0,-0.41951,0.097908,0.046621,0.01
99453,0,0,0,-0.41974,0.10109,0.047146,0
99453,0,0,0,-0.41974,0.10109,0.047146,0.01
99453,0,0,0,-0.41974,0.10431,0.047656,0
99453,0,0,0,-0.41974,0.10431,0.047656,0.01
99453,0,0,0,-0.41951,0.10755,0.048154,0
99453,0,0,0,-0.41951,0.10755,0.048154,0.01
99454,0,0,0,-0.41916,0.11081,0.048638,0
99454,0,0,0,-0.41916,0.11081,0.048638,0.01
99454,0,0,0,-0.4187,0.1141,0.049109,0
99454,0,0,0,-0.4187,0.1141,0.049109,0.01
99455,0,0,0,-0.41809,0.11742,0.049568,0
99455,0,0,0,-0.41809,0.11742,0.049568,0.01
99456,0,0,0,-0.41732,0.12076,0.050015,0
99456,0,0,0,-0.41732,0.12076,0.050015,0.01
99457,0,0,0,-0.41648,0.12413,0.050449,0
99457,0,0,0,-0.41648,0.12413,0.050449,0.01
99458,0,0,0,-0.41552,0.12753,0.050871,0
99458,0,0,0,-0.41552,0.12753,0.050871,0.01
99460,0,0,0,-0.41445,0.13095,0.051282,0
99460,0,0,0,-0.41445,0.13095,0.051282,0.01
99461,0,0,0,-0.4133,0.1344,0.051681,0
99461,0,0,0,-0.4133,0.1344,0.051681,0.01
99463,0,0,0,-0.41203,0.13788,0.052069,0
99463,0,0,0,-0.41203,0.13788,0.052069,0.01
99465,0,0,0,-0.41072,0.14138,0.052445,0
99465,0,0,0,-0.41072,0.14138,0.052445,0.01
99467,0,0,0,-0.40934,0.14491,0.052811,0
99467,0,0,0,-0.40934,0.14491,0.052811,0.01
99468,0,0,0,-0.40788,0.14847,0.053165,0
99468,0,0,0,-0.40788,0.14847,0.053165,0.01
99470,0,0,0,-0.40635,0.15206,0.053509,0
99470,0,0,0,-0.40635,0.15206,0.053509,0.01
99472,0,0,0,-0.40478,0.15567,0.053843,0
99472,0,0,0,-0.40478,0.15567,0.053843,0.01
99475,0,0,0,-0.40313,0.15931,0.054166,0
99475,0,0,0,-0.40313,0.15931,0.054166,0.01
99477,0,0,0,-0.4014,0.16298,0.054478,0
99477,0,0,0,-0.4014,0.16298,0.054478,0.01
99479,0,0,0,-0.39963,0.16668,0.05478,0
99479,0,0,0,-0.39963,0.16668,0.05478,0.01
99482,0,0,0,-0.39779,0.17041,0.055072,0
99482,0,0,0,-0.39779,0.17041,0.055072,0.01
99484,0,0,0,-0.39595,0.17416,0.055354,0
99484,0,0,0,-0.39595,0.17416,0.055354,0.01
99486,0,0,0,-0.39407,0.17794,0.055627,0
99486,0,0,0,-0.39407,0.17794,0.055627,0.01
99489,0,0,0,-0.39212,0.18175,0.055889,0
99489,0,0,0,-0.39212,0.18175,0.055889,0.01
99492,0,0,0,-0.39016,0.18559,0.056141,0
99492,0,0,0,-0.39016,0.18559,0.056141,0.01
99494,0,0,0,-0.38816,0.18946,0.056384,0
99494,0,0,0,-0.38816,0.18946,0.056384,0.01
99497,0,0,0,-0.38613,0.19335,0.056617,0
99497,0,0,0,-0.38613,0.19335,0.056617,0.01
99499,0,0,0,-0.38409,0.19728,0.05684,0
99499,0,0,0,-0.38409,0.19728,0.05684,0.01
99502,0,0,0,-0.38206,0.20123,0.057054,0
99502,0,0,0,-0.38206,0.20123,0.057054,0.01
99503,0,0,0,-0.38107,0.20522,0.057258,0
99503,0,0,0,-0.38107,0.20522,0.057258,0.01
